orderNumber, itemNumber, product, sourceLocation, destinationLocation, mot, quantity, uom, category, categoryDescription, startDate, endDate, destDaySupp, destStockOH, abcClass, week, approveLoad, reasonCode
2721728170,10,3800020653,3488,3400,ZIM,108,CS,EF,Deployment: Purchase requisition,20251103,20251109,38,6572,CS   ,B       ,,
2721728171,10,3800020653,3488,3400,ZIM,720,CS,EF,Deployment: Purchase requisition,20251107,20251113,38,6572,CS   ,B       ,,
2721728172,10,3800020653,3488,3400,ZIM,144,CS,EF,Deployment: Purchase requisition,20251108,20251114,38,6572,CS   ,B       ,,
2721728173,10,3800020653,3488,3400,ZIM,144,CS,EF,Deployment: Purchase requisition,20251109,20251115,40,391.611,UL   ,B       ,,
2721728174,10,3800020653,3488,3400,ZIM,144,CS,EF,Deployment: Purchase requisition,20251110,20251116,40,391.611,UL   ,B       ,,
2721728175,10,3800020653,3488,3400,ZIM,216,CS,EF,Deployment: Purchase requisition,20251111,20251117,40,391.611,UL   ,B       ,,
2721728176,10,3800020653,3488,3400,ZIM,504,CS,EF,Deployment: Purchase requisition,20251114,20251120,40,391.611,UL   ,B       ,,
2721728177,10,3800020653,3488,3400,ZIM,144,CS,EF,Deployment: Purchase requisition,20251115,20251121,40,391.611,UL   ,B       ,,
2721728178,10,3800020653,3488,3400,ZIM,4140,CS,EF,Deployment: Purchase requisition,20251116,20251122,36,83965.25,ZNL  ,B       ,,
2721728179,10,3800020653,3488,3400,ZIM,720,CS,EF,Deployment: Purchase requisition,20251213,20251219,49,487.778,UL   ,B       ,,
2721728180,10,3800020653,3488,3400,ZIM,1224,CS,EF,Deployment: Purchase requisition,20251220,20251226,42,44936.77,ZNK  ,B       ,,
2721728181,10,3800020653,3488,3400,ZIM,18792,CS,EF,Deployment: Purchase requisition,20251227,20260102,53,9291,CS   ,B       ,,
2721728182,10,3800020653,3488,3400,ZIM,1260,CS,EF,Deployment: Purchase requisition,20260103,20260109,77,769.056,UL   ,B       ,,
2721728183,10,3800020653,3488,3400,ZIM,180,CS,EF,Deployment: Purchase requisition,20251101,20251107,45,436.278,UL   ,B       ,,
2721728184,10,3800020653,3488,3400,ZIM,180,CS,EF,Deployment: Purchase requisition,20251102,20251108,38,6572,CS   ,B       ,,
2721728185,10,3800020653,3488,3400,ZIM,1080,CS,EF,Deployment: Purchase requisition,20260110,20260116,553,333383.25,ZNL  ,B       ,,
2721728186,10,3800020653,3488,3400,ZIM,10.934,CS,EF,Deployment: Purchase requisition,20260117,20260123,546,25173,CS   ,B       ,,
2721728187,10,3800020653,3488,3400,ZIM,20.18,CS,EF,Deployment: Purchase requisition,20260124,20260130,539,143278.4,ZNK  ,B       ,,
2721728188,10,3800020653,3488,3400,ZIM,828,CS,EF,Deployment: Purchase requisition,20251029,20251104,45,436.278,UL   ,B       ,,
2721728197,10,4119210530,8759,3400,ZTL,10560,CS,EF,Deployment: Purchase requisition,20251031,20251103,6,21.479,UL   ,B       ,,
2721728198,10,88462310589,8793,3400,ZTL,10.681,CS,EF,Deployment: Purchase requisition,20260117,20260120,0,0,ZNL  ,D       ,,
2721728235,10,4119211007,8759,3400,ZTL,2592,CS,EF,Deployment: Purchase requisition,20251031,20251103,1,3.229,UL   ,C       ,,
2721728236,10,4119210819,8793,3400,ZTL,528,CS,EF,Deployment: Purchase requisition,20260110,20260113,0,0,ZNK  ,D       ,,
2721728237,10,4119210819,8793,3400,ZTL,792,CS,EF,Deployment: Purchase requisition,20251113,20251116,18,515.625,ZNL  ,D       ,,
2721728243,10,3800029111,8759,3400,ZTL,35760,CS,EF,Deployment: Purchase requisition,20251024,20251027,4,8016.93,ZNL  ,A       ,,
2721728244,10,3800029111,8759,3400,ZTL,2640,CS,EF,Deployment: Purchase requisition,20251020,20251023,4,8016.93,ZNL  ,A       ,,
2721728245,10,3800029111,8759,3400,ZTL,20400,CS,EF,Deployment: Purchase requisition,20251107,20251110,15,156.408,UL   ,A       ,,
2721728246,10,3800029111,8832,3400,ZIM,10320,CS,EF,Deployment: Purchase requisition,20251130,20251205,38,33507.765,ZNK  ,A       ,,
2721728259,10,88462310615,8857,3400,ZIM,23.036,CS,EF,Deployment: Purchase requisition,20260202,20260208,21,68,CS   ,D       ,,
2721728260,10,88462310615,8857,3400,ZIM,23.036,CS,EF,Deployment: Purchase requisition,20260126,20260201,21,566.1,ZNL  ,D       ,,
2721728261,10,88462310615,8857,3400,ZIM,22.808,CS,EF,Deployment: Purchase requisition,20260119,20260125,2,0.167,UL   ,D       ,,
2721728262,10,88462310615,8857,3400,ZTL,49.399,CS,EF,Deployment: Purchase requisition,20260119,20260122,2,0.167,UL   ,D       ,,
2721728263,10,88462310612,8857,3400,ZIM,17.277,CS,EF,Deployment: Purchase requisition,20260202,20260208,52,113,CS   ,D       ,,
2721728264,10,88462310612,8857,3400,ZIM,17.277,CS,EF,Deployment: Purchase requisition,20260126,20260201,59,490.88,ZNK  ,D       ,,
2721728265,10,88462310612,8857,3400,ZIM,22.808,CS,EF,Deployment: Purchase requisition,20260119,20260125,32,2.306,UL   ,D       ,,
2721728266,10,88462310612,8857,3400,ZIM,72,CS,EF,Deployment: Purchase requisition,20251229,20260104,24,666,ZNL  ,D       ,,
2721728267,10,88462310612,8857,3400,ZIM,72,CS,EF,Deployment: Purchase requisition,20251215,20251221,16,313.408,ZNK  ,D       ,,
2721728268,10,88462310612,8857,3400,ZIM,72,CS,EF,Deployment: Purchase requisition,20251201,20251207,3,124.875,ZNL  ,D       ,,
2721728269,10,88462310612,8857,3400,ZIM,72,CS,EF,Deployment: Purchase requisition,20251117,20251123,18,102,CS   ,D       ,,
2721728270,10,88462310612,8857,3400,ZIM,72,CS,EF,Deployment: Purchase requisition,20251107,20251113,11,249.216,ZNK  ,D       ,,
2721728271,10,88462310612,8857,3400,ZTL,47.718,CS,EF,Deployment: Purchase requisition,20260119,20260122,32,2.306,UL   ,D       ,,
2721728272,10,88462310612,8857,3400,ZTL,72,CS,EF,Deployment: Purchase requisition,20251028,20251031,0,0,ZNL  ,D       ,,
2721728273,10,88462310612,8857,3400,ZTL,72,CS,EF,Deployment: Purchase requisition,20251024,20251027,0,0,ZNK  ,D       ,,
2721728278,10,88462310585,8793,3400,ZTL,576,CS,EF,Deployment: Purchase requisition,20251213,20251216,0,0,UL   ,B       ,,
2721728279,10,88462310585,8793,3400,ZTL,288,CS,EF,Deployment: Purchase requisition,20251220,20251223,0,0,UL   ,B       ,,
2721728280,10,88462310585,8793,3400,ZTL,288,CS,EF,Deployment: Purchase requisition,20260110,20260113,0,0,ZNK  ,B       ,,
2721728281,10,88462310585,8793,3400,ZTL,124.052,CS,EF,Deployment: Purchase requisition,20260117,20260120,0,0,ZNK  ,B       ,,
2721728282,10,88462310585,8793,3400,ZTL,77.729,CS,EF,Deployment: Purchase requisition,20260124,20260127,0,0,ZNL  ,B       ,,
2721728283,10,88462310585,8793,3400,ZTL,110.849,CS,EF,Deployment: Purchase requisition,20260131,20260203,0,0,UL   ,B       ,,
2721728284,10,88462310585,8793,3400,ZTL,9.009,CS,EF,Deployment: Purchase requisition,20260207,20260210,0,0,ZNK  ,B       ,,
2721728295,10,85641600001,8793,3400,ZTL,3168,CS,EF,Deployment: Purchase requisition,20251227,20251230,33,9963,ZNL  ,A       ,,
2721728296,10,85641600001,8793,3400,ZTL,864,CS,EF,Deployment: Purchase requisition,20251213,20251216,47,19.007,UL   ,A       ,,
2721728297,10,85641600001,8793,3400,ZTL,576,CS,EF,Deployment: Purchase requisition,20251206,20251209,54,2933,CS   ,A       ,,
2721728298,10,85641600001,8793,3400,ZTL,576,CS,EF,Deployment: Purchase requisition,20251129,20251202,49,10354.5,ZNL  ,A       ,,
2721728299,10,85641600001,8793,3400,ZTL,864,CS,EF,Deployment: Purchase requisition,20251122,20251125,52,2454,CS   ,A       ,,
2721728300,10,88462310226,8793,3400,ZTL,2250,CS,EF,Deployment: Purchase requisition,20260103,20260106,38,9959,CS   ,B       ,,
2721728301,10,88462310226,8793,3400,ZTL,1500,CS,EF,Deployment: Purchase requisition,20251213,20251216,52,14182.223,ZNK  ,B       ,,
2721728302,10,88462310226,8793,3400,ZTL,2000,CS,EF,Deployment: Purchase requisition,20251206,20251209,52,11932.586,ZNK  ,B       ,,
2721728303,10,88462310226,8793,3400,ZTL,3000,CS,EF,Deployment: Purchase requisition,20251129,20251202,50,8325.06,ZNK  ,B       ,,
2721728304,10,88462310231,8793,3400,ZTL,1000,CS,EF,Deployment: Purchase requisition,20251120,20251123,0,0,CS   ,B       ,,
2721728311,10,3800013791,8857,3400,ZIM,240,CS,EF,Deployment: Purchase requisition,20251222,20251228,53,11220.93,ZNK  ,C       ,,
2721728312,10,3800013791,8857,3400,ZIM,600,CS,EF,Deployment: Purchase requisition,20251215,20251221,52,23262.5,ZNL  ,C       ,,
2721728313,10,3800013791,8857,3400,ZIM,360,CS,EF,Deployment: Purchase requisition,20251208,20251214,53,10563.21,ZNK  ,C       ,,
2721728314,10,3800013791,8857,3400,ZIM,720,CS,EF,Deployment: Purchase requisition,20251201,20251207,36,15812.5,ZNL  ,C       ,,
2721728315,10,3800013791,8857,3400,ZIM,1080,CS,EF,Deployment: Purchase requisition,20251024,20251030,17,3696.84,ZNK  ,C       ,,
2721728316,10,3800013791,8857,3400,ZTL,840,CS,EF,Deployment: Purchase requisition,20251024,20251027,17,3696.84,ZNK  ,C       ,,
2721728317,10,3800013791,8857,3400,ZTL,240,CS,EF,Deployment: Purchase requisition,20251201,20251204,36,15812.5,ZNL  ,C       ,,
2721728318,10,3800012465,8759,3400,ZTL,32,CS,EF,Deployment: Purchase requisition,20251020,20251023,30,3234.375,ZNL  ,D       ,,
2721728319,10,3800012465,8759,3400,ZTL,224,CS,EF,Deployment: Purchase requisition,20251031,20251103,23,2446.875,ZNL  ,D       ,,
2721728320,10,3800052450,8759,3400,ZTL,384,CS,EF,Deployment: Purchase requisition,20251107,20251110,33,23.708,UL   ,D       ,,
2721728321,10,3800000196,8759,3400,ZTL,432,CS,EF,Deployment: Purchase requisition,20251024,20251027,26,72.667,UL   ,C       ,,
2721728322,10,3800000196,8759,3400,ZTL,1242,CS,EF,Deployment: Purchase requisition,20251031,20251103,26,8829,ZNL  ,C       ,,
2721728323,10,3800001791,8857,3400,ZIM,2400,CS,EF,Deployment: Purchase requisition,20251031,20251106,42,47856.25,ZNL  ,A       ,,
2721728324,10,88462310230,8793,3400,ZTL,2500,CS,EF,Deployment: Purchase requisition,20251227,20251230,0,5,CS   ,D       ,,
2721728325,10,3800018315,8759,3400,ZTL,96,CS,EF,Deployment: Purchase requisition,20251110,20251113,24,5335.005,ZNK  ,A       ,,
2721728328,10,3800049834,8857,3400,ZIM,240,CS,EF,Deployment: Purchase requisition,20251215,20251221,47,1920,CS   ,C       ,,
2721728329,10,3800049834,8857,3400,ZIM,360,CS,EF,Deployment: Purchase requisition,20251208,20251214,52,30,UL   ,C       ,,
2721728330,10,3800049834,8857,3400,ZIM,1200,CS,EF,Deployment: Purchase requisition,20251201,20251207,36,6000,ZNL  ,C       ,,
2721728331,10,3800049834,8857,3400,ZTL,480,CS,EF,Deployment: Purchase requisition,20251201,20251204,36,6000,ZNL  ,C       ,,
2721728341,10,3800012609,8759,3400,ZTL,144,CS,EF,Deployment: Purchase requisition,20251020,20251023,6,94,CS   ,C       ,,
2721728342,10,3800012609,8759,3400,ZTL,432,CS,EF,Deployment: Purchase requisition,20251114,20251117,12,8.833,UL   ,C       ,,
2721728343,10,3800006357,8759,3400,ZTL,48,CS,EF,Deployment: Purchase requisition,20251114,20251117,38,1203.764,ZNK  ,C       ,,
2721728344,10,3800025435,8857,3400,ZIM,120,CS,EF,Deployment: Purchase requisition,20251222,20251228,52,43912.5,ZNL  ,C       ,,
2721728345,10,3800025435,8857,3400,ZIM,1560,CS,EF,Deployment: Purchase requisition,20251215,20251221,52,3495,CS   ,C       ,,
2721728346,10,3800025435,8857,3400,ZIM,480,CS,EF,Deployment: Purchase requisition,20251208,20251214,54,59.95,UL   ,C       ,,
2721728347,10,3800025435,8857,3400,ZIM,480,CS,EF,Deployment: Purchase requisition,20251201,20251207,61,50737.5,ZNL  ,C       ,,
2721728348,10,3800025435,8857,3400,ZIM,1080,CS,EF,Deployment: Purchase requisition,20251124,20251130,49,40462.5,ZNL  ,C       ,,
2721728349,10,3800025435,8857,3400,ZIM,120,CS,EF,Deployment: Purchase requisition,20251028,20251103,71,4837,CS   ,C       ,,
2721728350,10,3800004996,8759,3400,ZTL,270,CS,EF,Deployment: Purchase requisition,20251107,20251110,26,41.852,UL   ,C       ,,
2721728351,10,3800004996,8759,3400,ZTL,756,CS,EF,Deployment: Purchase requisition,20251031,20251103,29,7656,ZNL  ,C       ,,
2721728352,10,3800004996,8759,3400,ZTL,486,CS,EF,Deployment: Purchase requisition,20251024,20251027,8,361,CS   ,C       ,,
2721728353,10,3800018338,8857,3400,ZIM,4320,CS,EF,Deployment: Purchase requisition,20251121,20251127,34,82495.14,ZNK  ,A       ,,
2721728354,10,3800000691,8857,3400,ZIM,57.62,CS,EF,Deployment: Purchase requisition,20260119,20260125,11,882.556,ZNK  ,D       ,,
2721728355,10,3800000691,8857,3400,ZIM,160,CS,EF,Deployment: Purchase requisition,20260112,20260118,12,1136.108,ZNK  ,D       ,,
2721728356,10,3800000691,8857,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20260105,20260111,11,999.58,ZNK  ,D       ,,
2721728357,10,3800000691,8857,3400,ZIM,160,CS,EF,Deployment: Purchase requisition,20251229,20260104,9,4.425,UL   ,D       ,,
2721728358,10,3800000691,8857,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251222,20251228,12,4.625,UL   ,D       ,,
2721728359,10,3800000691,8857,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251215,20251221,15,941.068,ZNK  ,D       ,,
2721728360,10,3800000691,8857,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251208,20251214,16,201,CS   ,D       ,,
2721728361,10,3800000691,8857,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251201,20251207,17,209,CS   ,D       ,,
2721728362,10,3800000691,8857,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251124,20251130,16,2332.75,ZNL  ,D       ,,
2721728363,10,3800000691,8857,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251121,20251127,20,3020.75,ZNL  ,D       ,,
2721728364,10,3800000691,8857,3400,ZTL,19.706,CS,EF,Deployment: Purchase requisition,20260119,20260122,11,882.556,ZNK  ,D       ,,
2721728365,10,3800022806,8857,3400,ZTL,1200,CS,EF,Deployment: Purchase requisition,20251222,20251225,39,74699.595,ZNL  ,C       ,,
2721728366,10,3800024122,8759,3400,ZTL,2400,CS,EF,Deployment: Purchase requisition,20251024,20251027,17,1604,CS   ,C       ,,
2721728367,10,3800024122,8759,3400,ZTL,180,CS,EF,Deployment: Purchase requisition,20251107,20251110,40,4456,CS   ,C       ,,
2721728373,10,3800024847,8820,3400,ZTL,4320,CS,EF,Deployment: Purchase requisition,20251106,20251110,10,3052,CS   ,A       ,,
2721728374,10,3800024847,8820,3400,ZTL,4320,CS,EF,Deployment: Purchase requisition,20251113,20251117,18,61428,ZNL  ,A       ,,
2721728375,10,3800024847,8820,3400,ZTL,1440,CS,EF,Deployment: Purchase requisition,20260111,20260115,36,17453,CS   ,A       ,,
2721728376,10,3800024847,8820,3400,ZTL,5760,CS,EF,Deployment: Purchase requisition,20260104,20260108,39,242088,ZNL  ,A       ,,
2721728377,10,3800024847,8820,3400,ZTL,5760,CS,EF,Deployment: Purchase requisition,20251228,20260101,29,14371,CS   ,A       ,,
2721728378,10,3800024847,8820,3400,ZTL,2880,CS,EF,Deployment: Purchase requisition,20251214,20251218,32,12854,CS   ,A       ,,
2721728379,10,3800024847,8820,3400,ZTL,2880,CS,EF,Deployment: Purchase requisition,20251207,20251211,35,163332,ZNL  ,A       ,,
2721728380,10,3800024847,8820,3400,ZTL,2880,CS,EF,Deployment: Purchase requisition,20251130,20251204,35,62839.435,ZNK  ,A       ,,
2721728381,10,3800024847,8820,3400,ZTL,5760,CS,EF,Deployment: Purchase requisition,20251120,20251124,25,7476,CS   ,A       ,,
2721728382,10,3800024849,8857,3400,ZIM,3408,CS,EF,Deployment: Purchase requisition,20251215,20251221,44,1040.708,UL   ,A       ,,
2721728383,10,3800024849,8857,3400,ZIM,2352,CS,EF,Deployment: Purchase requisition,20251208,20251214,44,1000.917,UL   ,A       ,,
2721728384,10,3800024849,8857,3400,ZIM,1824,CS,EF,Deployment: Purchase requisition,20251121,20251127,44,138700.317,ZNK  ,A       ,,
2721728385,10,3800024849,8857,3400,ZIM,3744,CS,EF,Deployment: Purchase requisition,20251114,20251120,36,267048.764,ZNL  ,A       ,,
2721728386,10,3800024849,8857,3400,ZTL,192,CS,EF,Deployment: Purchase requisition,20251114,20251117,36,267048.764,ZNL  ,A       ,,
2721728387,10,88462310516,8793,3400,ZTL,250,CS,EF,Deployment: Purchase requisition,20251206,20251209,0,0,ZNK  ,D       ,,
